image_path,label,source,family,split
sid_export\fake\unknown_generator\0000087.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000088.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000089.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000092.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000093.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000094.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000095.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000099.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000100.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000101.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000102.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000103.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000105.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000107.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000108.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000111.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000112.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000113.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000116.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000117.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000119.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000121.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000122.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000123.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000126.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000127.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000128.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000129.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000130.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000131.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000132.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000133.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000134.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000135.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000137.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000138.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000141.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000142.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000145.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000146.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000148.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000152.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000154.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000157.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000158.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000165.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000166.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000167.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000168.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000171.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000174.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000177.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000178.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000180.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000182.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000184.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000185.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000188.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000190.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000191.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000192.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000193.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000194.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000195.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000196.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000201.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000203.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000204.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000209.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000211.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000216.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000217.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000221.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000222.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000223.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000226.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000227.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000228.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000234.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000236.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000240.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000241.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000242.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000244.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000245.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000247.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000250.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000255.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000256.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000258.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000259.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000261.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000263.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000264.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000265.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000267.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000268.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000269.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000270.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000272.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000274.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000276.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000277.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000278.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000279.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000282.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000283.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000286.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000287.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000289.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000290.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000291.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000293.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000295.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000296.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000297.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000298.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000301.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000302.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000303.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000305.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000306.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000307.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000308.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000309.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000310.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000312.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000318.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000321.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000323.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000324.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000325.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000328.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000330.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000334.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000337.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000338.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000339.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000343.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000345.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000349.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000351.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000356.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000358.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000362.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000363.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000364.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000370.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000371.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000373.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000374.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000377.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000378.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000380.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000383.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000384.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000388.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000390.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000391.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000392.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000393.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000395.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000396.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000402.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000403.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000404.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000410.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000411.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000414.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000417.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000418.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000419.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000420.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000421.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000422.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000424.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000425.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000426.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000434.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000435.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000439.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000440.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000441.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000443.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000444.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000445.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000446.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000447.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000448.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000450.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000453.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000454.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000455.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000457.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000460.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000461.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000465.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000466.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000468.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000470.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000472.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000473.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000474.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000475.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000476.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000477.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000480.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000485.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000489.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000490.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000494.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000497.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000498.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000500.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000501.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000502.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000509.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000510.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000511.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000513.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000515.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000516.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000517.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000519.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000522.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000524.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000525.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000526.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000527.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000529.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000532.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000535.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000540.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000542.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000545.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000546.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000550.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000553.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000558.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000559.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000560.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000561.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000563.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000564.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000567.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000568.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000569.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000572.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000580.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000585.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000586.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000587.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000588.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000592.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000596.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000597.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000598.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000599.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000600.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000601.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000603.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000605.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000606.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000607.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000608.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000609.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000611.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000613.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000616.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000617.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000619.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000623.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000626.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000627.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000628.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000629.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000631.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000632.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000633.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000635.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000636.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000638.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000639.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000640.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000641.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000642.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000644.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000645.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000646.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000647.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000648.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000651.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000652.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000653.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000655.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000657.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000658.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000661.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000664.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000665.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000668.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000669.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000673.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000674.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000677.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000681.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000682.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000683.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000684.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000685.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000688.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000689.jpg,1,sid_export,unknown_generator,test
sid_export\fake\unknown_generator\0000690.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000691.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000694.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000695.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000697.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000700.jpg,1,sid_export,unknown_generator,train
sid_export\fake\unknown_generator\0000705.jpg,1,sid_export,unknown_generator,train
